tox21-esre-bla-p1_summary.csv tox21-nfkb-bla-p1_summary.csv tox21-ror-cho-antagonist-p1_pubchem_summary.csv tox21-rxr-bla-agonist-p1_pubchem_summary.csv tox21-ap1-bla-agonist-p1_pubchem_summary.csv
PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity
144209003,NCGC00259354-01,2,46,,,,active 144209726,NCGC00260077-01,3,30,,,,inconclusive 144210821,NCGC00254404-01,2,83,,,,active 144210441,NCGC00254020-01,2,60,,,,active 170466222,NCGC00160483-02,2,71,,,,active
144213707,NCGC00257290-01,2,46,,,,active 170465580,NCGC00263529-01,3,30,,,,inconclusive 144213197,NCGC00256325-01,2,83,,,,active 144211722,NCGC00255531-01,2,59,,,,active 144213195,NCGC00256588-01,2,71,,,,active
144210158,NCGC00260506-01,2,46,,,,active 170465183,NCGC00015693-09,3,30,,,,inconclusive 170465182,NCGC00016786-15,2,83,,,,active 144208203,NCGC00258558-01,2,58,,,,active 170465880,NCGC00025158-02,2,71,,,,active
144209703,NCGC00260054-01,2,46,,,,active 144209999,NCGC00260347-01,3,30,,,,inconclusive 170465514,NCGC00249897-01,2,83,,,,active 144206824,NCGC00183007-01,2,57,,,,active 170464767,NCGC00016000-18,2,71,,,,active
144210595,NCGC00254082-01,2,46,,,,active 144209666,NCGC00260017-01,3,30,,,,inconclusive 144209978,NCGC00260326-01,2,82,,,,active 144208825,NCGC00259176-01,2,55,,,,active 251919755,NCGC00357207-01,2,70,,,,active
144208064,NCGC00258420-01,2,45,,,,active 144210136,NCGC00260484-01,3,30,,,,inconclusive 251919880,NCGC00356984-01,2,82,,,,active 144208274,NCGC00258629-01,2,54,,,,active 170466167,NCGC00094815-05,2,69,,,,active
144213129,NCGC00256339-01,2,45,,,,active 170466399,NCGC00013130-04,3,30,,,,inconclusive 251919686,NCGC00357201-01,2,82,,,,active 144213709,NCGC00257348-01,2,54,,,,active 144213317,NCGC00256542-01,2,69,,,,active
144206840,NCGC00183830-01,2,45,,,,active 144209948,NCGC00260298-01,3,30,,,,inconclusive 144207253,NCGC00257609-01,2,81,,,,active 144208782,NCGC00259133-01,2,53,,,,active 170466677,NCGC00262923-01,2,69,,,,active
170466119,NCGC00025216-03,2,45,,,,active 144209574,NCGC00259925-01,3,30,,,,inconclusive 144210727,NCGC00254380-01,2,81,,,,active 170464987,NCGC00014711-14,2,53,,,,active 170465278,NCGC00178737-05,2,69,,,,active
170464908,NCGC00263442-01,2,45,,,,active 144208314,NCGC00258668-01,3,30,,,,inconclusive 144210861,NCGC00254242-01,2,81,,,,active 144211354,NCGC00254939-01,2,52,,,,active 144209427,NCGC00259778-01,2,69,,,,active
